"address","_c1","rank"
"079XX S MOZART ST","106","15296"
"029XX N MOBILE AVE","106","15296"
"084XX S STATE ST","106","15296"
"070XX S JEFFERY BL","106","15296"
"014XX N HONORE ST","106","15296"
"075XX S MARSHFIELD AVE","106","15296"
"059XX N MILWAUKEE AVE","106","15296"
"003XX W 76TH ST","106","15296"
"0000X W 26TH ST","106","15296"
"060XX N JERSEY AVE","106","15296"
"071XX S HOYNE AVE","106","15296"
"107XX S HALE AVE","106","15296"
"013XX W WRIGHTWOOD AVE","106","15296"
"025XX W HIRSCH ST","106","15296"
"038XX S COTTAGE GROVE AV","106","15296"
"023XX W 79TH ST","106","15296"
"030XX N KNOX AVE","106","15296"
"054XX W SCHOOL ST","106","15296"
"042XX W 25TH ST","106","15296"
"087XX S CRANDON AVE","106","15296"
"109XX S BUFFALO AVE","106","15296"
"094XX S MORGAN ST","106","15296"
"025XX W FOSTER AVE","106","15296"
"035XX W 80TH PL","106","15296"
"058XX W MELROSE ST","106","15296"
"030XX N NOTTINGHAM AVE","106","15296"
"108XX S CALHOUN AVE","106","15296"
"041XX N RIDGEWAY AVE","106","15296"
"109XX S AVENUE G","106","15296"
"033XX W CUYLER AVE","106","15296"
"043XX S ST LOUIS AVE","106","15296"
"008XX W 58TH ST","106","15296"
"012XX S WOOD ST","106","15296"
"016XX W SUPERIOR ST","106","15296"
"011XX W EDDY ST","106","15296"
"045XX N MELVINA AVE","106","15296"
"037XX S DAMEN AVE","105","15407"
"049XX W EDDY ST","105","15407"
"038XX W 55TH ST","105","15407"
"046XX W GLADYS AVE","105","15407"
"029XX W 40TH PL","105","15407"
"057XX W GIDDINGS ST","105","15407"
"039XX N LAMON AVE","105","15407"
"092XX S CHAPPEL AVE","105","15407"
"028XX N LONG AVE","105","15407"
"090XX S PAULINA ST","105","15407"
"088XX S LUELLA AVE","105","15407"
"0000X S LAFLIN ST","105","15407"
"046XX W HURON ST","105","15407"
"106XX S AVENUE F","105","15407"
"106XX S AVENUE L","105","15407"
"114XX S COTTAGE GROVE AVE","105","15407"
"047XX N TALMAN AVE","105","15407"
"050XX N KENNETH AVE","105","15407"
"002XX S ASHLAND AVE","105","15407"
"027XX W 65TH ST","105","15407"
"082XX S DANTE AVE","105","15407"
"022XX W 69TH ST","105","15407"
"046XX N HERMITAGE AVE","105","15407"
"030XX E 90TH ST","105","15407"
"029XX N RACINE AVE","105","15407"
"012XX W HOOD AVE","105","15407"
"123XX S INDIANA AVE","105","15407"
"123XX S PRINCETON AVE","105","15407"
"046XX W DEMING PL","105","15407"
"037XX W 15TH ST","105","15407"
"048XX W GRAND AVE","105","15407"
"034XX W 66TH PL","105","15407"
"029XX W ARTHUR AVE","105","15407"
"004XX E OAKWOOD BV","105","15407"
"067XX S WENTWORTH AVE","105","15407"
"047XX N WOLCOTT AVE","105","15407"
"012XX W 86TH ST","105","15407"
"006XX S PLYMOUTH CT","105","15407"
"054XX W HENDERSON ST","105","15407"
"018XX W RICE ST","105","15407"
"014XX W ADDISON ST","105","15407"
"062XX S UNION AVE","105","15407"
"102XX S SANGAMON ST","105","15407"
"091XX S LAFAYETTE AVE","105","15407"
"004XX N RACINE AVE","105","15407"
"008XX N OAKLEY BLVD","105","15407"
"040XX W PETERSON AVE","105","15407"
"029XX S CANAL ST","105","15407"
"048XX S PRAIRIE AV","105","15407"
"089XX S DORCHESTER AVE","105","15407"
"039XX N OAK PARK AVE","105","15407"
"108XX S AVENUE M","105","15407"
"033XX W 64TH PL","105","15407"
"091XX S CLYDE AVE","105","15407"
"016XX W GRANVILLE AVE","105","15407"
"061XX W GIDDINGS ST","105","15407"
"029XX N MULLIGAN AVE","105","15407"
"022XX W POLK ST","105","15407"
"046XX S CHRISTIANA AVE","105","15407"
"040XX N CLARENDON AVE","105","15407"
"012XX W NORWOOD ST","105","15407"
"035XX N LINDER AVE","105","15407"
"023XX W FOSTER AVE","105","15407"
"042XX N LAWNDALE AVE","105","15407"
"023XX N JANSSEN AVE","105","15407"
"056XX S KOSTNER AVE","105","15407"
"029XX N NATOMA AVE","105","15407"
"034XX W CHICAGO AV","105","15407"
"006XX W 123RD ST","105","15407"
"085XX S DAMEN AVE","105","15407"
"054XX S DAMEN AV","105","15407"
"095XX S INDIANA AVE","105","15407"
"092XX S PEORIA ST","105","15407"
"017XX N NAGLE AVE","105","15407"
"039XX N CLAREMONT AVE","105","15407"
"062XX N HERMITAGE AVE","105","15407"
"011XX W MONTROSE AVE","105","15407"
"047XX W ALTGELD ST","105","15407"
"006XX W 18TH ST","105","15407"
"030XX W 38TH PL","105","15407"
"003XX S CAMPBELL AVE","105","15407"
"038XX S ROCKWELL ST","105","15407"
"023XX W ALTGELD ST","105","15407"
"058XX S MICHIGAN AV","105","15407"
"092XX S INDIANA AVE","105","15407"
"026XX N PARKSIDE AVE","105","15407"
"122XX S PERRY AVE","105","15407"
"043XX W ALTGELD ST","105","15407"
"009XX N DEARBORN ST","105","15407"
"103XX S AVENUE H","105","15407"
"031XX W 84TH PL","105","15407"
"050XX S KEELER AVE","105","15407"
"094XX S WALLACE ST","105","15407"
"009XX W 34TH PL","105","15407"
"013XX W 115TH ST","105","15407"
"081XX S STEWART AVE","105","15407"
"042XX W 16TH ST","105","15407"
"052XX W NELSON ST","105","15407"
"057XX N JERSEY AVE","105","15407"
"011XX S KARLOV AVE","105","15407"
"037XX W 70TH PL","105","15407"
"035XX W 81ST PL","105","15407"
"013XX S LYNN WHITE DR","105","15407"
"060XX S DREXEL AVE","105","15407"
"042XX W LE MOYNE ST","105","15407"
"057XX N MAPLEWOOD AVE","104","15512"
"106XX S SANGAMON ST","104","15512"
"016XX N KOSTNER AVE","104","15512"
"048XX N HARDING AVE","104","15512"
"020XX W MOFFAT ST","104","15512"
"028XX S SACRAMENTO AVE","104","15512"
"092XX S ABERDEEN ST","104","15512"
"042XX W SCHOOL ST","104","15512"
"036XX N GREENVIEW AVE","104","15512"
"003XX N ASHLAND AVE","104","15512"
"084XX S BENNETT AVE","104","15512"
"135XX S BURLEY AVE","104","15512"
"020XX S ARCHER AVE","104","15512"
"009XX N HAMLIN AV","104","15512"
"025XX N WAYNE AVE","104","15512"
"026XX N HARLEM AVE","104","15512"
"028XX N MERRIMAC AVE","104","15512"
"053XX N HARLEM AVE","104","15512"
"044XX W GUNNISON ST","104","15512"
"025XX W NORTH AV","104","15512"
"034XX S OAKLEY AVE","104","15512"
"051XX S SACRAMENTO AVE","104","15512"
"057XX S KIMBARK AVE","104","15512"
"043XX N HERMITAGE AVE","104","15512"
"025XX W 39TH PL","104","15512"
"101XX S DR MARTIN LUTHER KING JR DR","104","15512"
"003XX N OAKLEY BLVD","104","15512"
"004XX E 49TH ST","104","15512"
"053XX W SCHOOL ST","104","15512"
"004XX E 111TH PL","104","15512"
"034XX S WENTWORTH AVE","104","15512"
"0000X E 111TH PL","104","15512"
"044XX S WENTWORTH AVE","104","15512"
"024XX W HURON ST","104","15512"
"026XX N OAK PARK AVE","104","15512"
"033XX W DICKENS AVE","104","15512"
"058XX S DAMEN AVE","104","15512"
"026XX W WINNEMAC AVE","104","15512"
"055XX S FRANCISCO AVE","104","15512"
"037XX W ALTGELD ST","104","15512"
"046XX S KILPATRICK AVE","104","15512"
"007XX W 54TH ST","104","15512"
"053XX W BYRON ST","104","15512"
"034XX N KEATING AVE","104","15512"
"047XX N ROCKWELL ST","104","15512"
"044XX S WHIPPLE ST","104","15512"
"040XX N MAJOR AVE","104","15512"
"037XX W 76TH PL","104","15512"
"018XX W BERTEAU AVE","104","15512"
"016XX N NARRAGANSETT AVE","104","15512"
"035XX W SCHOOL ST","104","15512"
"024XX W NORTH AV","104","15512"
"089XX S COMMERCIAL AV","104","15512"
"063XX N KEDZIE AVE","104","15512"
"001XX E 61ST ST","104","15512"
"0000X E 14TH PL","104","15512"
"035XX W 58TH ST","104","15512"
"022XX W LELAND AVE","104","15512"
"089XX S UNIVERSITY AVE","104","15512"
"090XX S EMERALD AVE","104","15512"
"057XX W 63RD PL","104","15512"
"066XX S ST LOUIS AVE","104","15512"
"045XX N MEADE AVE","104","15512"
"0000X E CHICAGO AV","104","15512"
"057XX S WABASH AV","104","15512"
"020XX N KENMORE AVE","104","15512"
"059XX N ARTESIAN AVE","104","15512"
"069XX N OAKLEY AVE","104","15512"
"025XX N MANGO AVE","104","15512"
"036XX W 57TH PL","104","15512"
"069XX S MERRILL AV","104","15512"
"033XX W 87TH ST","104","15512"
"012XX W 57TH ST","104","15512"
"126XX S HARVARD AVE","104","15512"
"056XX S CHRISTIANA AVE","104","15512"
"031XX E 83RD ST","104","15512"
"002XX W 33RD ST","104","15512"
"012XX W OAKDALE AVE","104","15512"
"013XX E 55TH ST","104","15512"
"055XX W EDDY ST","104","15512"
"083XX S WINCHESTER AVE","104","15512"
"082XX S MERRILL AVE","104","15512"
"047XX S VINCENNES AV","104","15512"
"092XX S MICHIGAN AVE","104","15512"
"057XX W 64TH ST","104","15512"
"005XX W IOWA ST","104","15512"
"074XX N CLAREMONT AVE","104","15512"
"025XX W HURON ST","104","15512"
"061XX S KARLOV AVE","104","15512"
"003XX S CLINTON ST","104","15512"
"062XX S HOYNE AVE","104","15512"
"012XX E 69TH ST","104","15512"
"095XX S SANGAMON ST","104","15512"
"046XX S WOODLAWN AVE","104","15512"
"018XX W GRANVILLE AVE","103","15606"
"106XX S RHODES AVE","103","15606"
"028XX N KENNETH AVE","103","15606"
"012XX N ASHLAND AV","103","15606"
"019XX N MAUD AVE","103","15606"
"050XX W ST PAUL AVE","103","15606"
"085XX S CALUMET AVE","103","15606"
"033XX S PAULINA ST","103","15606"
"091XX S KINGSTON AVE","103","15606"
"027XX N SOUTHPORT AVE","103","15606"
"037XX W 77TH ST","103","15606"
"001XX S ALBANY AVE","103","15606"
"064XX S KILPATRICK AVE","103","15606"
"0000X W ROOSEVELT RD","103","15606"
"030XX N NATCHEZ AVE","103","15606"
"0000X E 90TH ST","103","15606"
"037XX W 61ST ST","103","15606"
"036XX N LAKEWOOD AVE","103","15606"
"080XX S WASHTENAW AVE","103","15606"
"042XX W 13TH ST","103","15606"
"036XX N NORDICA AVE","103","15606"
"057XX S KOSTNER AVE","103","15606"
"033XX N HARDING AVE","103","15606"
"052XX S LUNA AVE","103","15606"
"131XX S LANGLEY AV","103","15606"
"002XX W 45TH PL","103","15606"
"087XX S BENNETT AVE","103","15606"
"037XX W 65TH ST","103","15606"
"056XX S KILDARE AVE","103","15606"
"096XX S MERRILL AVE","103","15606"
"087XX S INDIANA AVE","103","15606"
"034XX W BELLE PLAINE AVE","103","15606"
"025XX N FRANCISCO AVE","103","15606"
"013XX N WICKER PARK AVE","103","15606"
"095XX S CLYDE AVE","103","15606"
"035XX W 66TH PL","103","15606"
"005XX E 36TH PL","103","15606"
"037XX N CLIFTON AVE","103","15606"
"055XX W NEWPORT AVE","103","15606"
"003XX W 77TH ST","103","15606"
"040XX N HAMLIN AVE","103","15606"
"061XX S KILBOURN AVE","103","15606"
"016XX E HYDE PARK BLVD","103","15606"
"037XX S CALIFORNIA AVE","103","15606"
"037XX W 65TH PL","103","15606"
"032XX N KILDARE AVE","103","15606"
"037XX N CHRISTIANA AVE","103","15606"
"010XX N CHRISTIANA AVE","103","15606"
"085XX S DANTE AVE","103","15606"
"038XX N RECREATION DR","103","15606"
"017XX S UNION AVE","103","15606"
"004XX W 100TH ST","103","15606"
"001XX E 117TH ST","103","15606"
"022XX N MAGNOLIA AVE","103","15606"
"015XX W GARFIELD BL","103","15606"
"016XX S CARPENTER ST","103","15606"
"007XX N GREEN ST","103","15606"
"011XX W 107TH ST","103","15606"
"026XX W LUNT AVE","103","15606"
"017XX W SCHOOL ST","103","15606"
"133XX S LANGLEY AV","103","15606"
"034XX W 60TH PL","103","15606"
"019XX S ALLPORT ST","103","15606"
"027XX W WINNEMAC AVE","103","15606"
"023XX W BELDEN AVE","103","15606"
"059XX N WESTERN AVE","103","15606"
"004XX W 71ST ST","103","15606"
"007XX E 45TH ST","103","15606"
"024XX W 57TH ST","103","15606"
"128XX S WALLACE ST","103","15606"
"084XX S RHODES AVE","103","15606"
"033XX S RACINE AVE","103","15606"
"035XX W 64TH PL","103","15606"
"050XX N KEDZIE AVE","103","15606"
"011XX W WOLFRAM ST","103","15606"
"020XX N SEDGWICK ST","103","15606"
"007XX W BROMPTON AVE","103","15606"
"097XX S ESCANABA AVE","103","15606"
"040XX N SPAULDING AVE","103","15606"
"066XX N ROCKWELL ST","103","15606"
"101XX S GREEN ST","103","15606"
"024XX N MOZART ST","103","15606"
"030XX S INDIANA AVE","103","15606"
"089XX S CREGIER AVE","103","15606"
"052XX S DREXEL AV","103","15606"
"001XX S MASON AVE","103","15606"
"037XX N DRAKE AVE","103","15606"
"014XX W NORTH AVE","103","15606"
"012XX N CLYBOURN AV","103","15606"
"056XX W GRACE ST","103","15606"
"033XX N LAKEWOOD AVE","103","15606"
"016XX N LAWNDALE AVE","103","15606"
"026XX W FRANCIS PL","103","15606"
"054XX S PEORIA ST","103","15606"
"056XX W BYRON ST","103","15606"
"044XX N PAULINA ST","103","15606"
"022XX W DIVERSEY AVE","103","15606"
"033XX N KEATING AVE","103","15606"
"048XX S ASHLAND AV","103","15606"
"021XX W CORTEZ ST","103","15606"
"109XX S PARNELL AVE","103","15606"
"079XX S CALIFORNIA AVE","103","15606"
"080XX S SPAULDING AVE","103","15606"
"013XX W ELMDALE AVE","103","15606"
"031XX W 13TH ST","103","15606"
"004XX E 110TH PL","103","15606"
"052XX W BARRY AVE","103","15606"
"116XX S ELIZABETH ST","103","15606"
"019XX W BELLE PLAINE AVE","103","15606"
"049XX W NEWPORT AVE","103","15606"
"055XX W WEST END AVE","103","15606"
"028XX N RICHMOND ST","102","15717"
"015XX W 88TH ST","102","15717"
"067XX S BENNETT AVE","102","15717"
"108XX S HOMAN AVE","102","15717"
"029XX N LOWELL AVE","102","15717"
"044XX S KEDVALE AVE","102","15717"
"013XX N ARTESIAN AV","102","15717"
"034XX N KEDZIE AVE","102","15717"
"032XX S WESTERN AVE","102","15717"
"051XX N LEAVITT ST","102","15717"
"016XX W HOLLYWOOD AVE","102","15717"
"046XX W MONTROSE AVE","102","15717"
"016XX N DAYTON ST","102","15717"
"054XX W BYRON ST","102","15717"
"014XX W SUMMERDALE AVE","102","15717"
"004XX W 101ST ST","102","15717"
"050XX S KEDVALE AVE","102","15717"
"018XX W BYRON ST","102","15717"
"134XX S INDIANA AVE","102","15717"
"021XX S PRINCETON AVE","102","15717"
"092XX S BALTIMORE AVE","102","15717"
"062XX N WAYNE AVE","102","15717"
"015XX N DAMEN AV","102","15717"
"049XX S LAPORTE AVE","102","15717"
"107XX S LOWE AVE","102","15717"
"002XX E 45TH ST","102","15717"
"036XX N MARSHFIELD AVE","102","15717"
"095XX S LOWE AVE","102","15717"
"070XX S SOUTH CHICAGO AVE","102","15717"
"017XX W VAN BUREN ST","102","15717"
"009XX W WELLINGTON AVE","102","15717"
"025XX W LOGAN BLVD","102","15717"
"065XX S HERMITAGE AV","102","15717"
"031XX W PRATT BLVD","102","15717"
"076XX S WESTERN AVE","102","15717"
"048XX W PALMER ST","102","15717"
"086XX S PAULINA ST","102","15717"
"0000X N WALLER AV","102","15717"
"010XX W 32ND PL","102","15717"
"075XX S HERMITAGE AVE","102","15717"
"001XX E 104TH ST","102","15717"
"003XX S RICHMOND ST","102","15717"
"030XX W TOUHY AVE","102","15717"
"045XX S MC DOWELL AVE","102","15717"
"017XX S CARPENTER ST","102","15717"
"094XX S VERNON AVE","102","15717"
"035XX N KOLMAR AVE","102","15717"
"062XX W BLOOMINGDALE AVE","102","15717"
"035XX W 64TH ST","102","15717"
"016XX W ARMITAGE AVE","102","15717"
"028XX W WALTON ST","102","15717"
"007XX S LAFLIN ST","102","15717"
"021XX W CONGRESS PKWY","102","15717"
"014XX W 16TH ST","102","15717"
"099XX S CALHOUN AVE","102","15717"
"026XX W 35TH PL","102","15717"
"026XX W VAN BUREN ST","102","15717"
"080XX S WENTWORTH AVE","102","15717"
"003XX E 137TH ST","102","15717"
"067XX N DAMEN AVE","102","15717"
"052XX N BERNARD ST","102","15717"
"120XX S DOTY AVE E","102","15717"
"004XX W 27TH ST","102","15717"
"057XX S HARPER AVE","102","15717"
"026XX N GREENVIEW AVE","102","15717"
"005XX E 41ST ST","102","15717"
"047XX N ARTESIAN AVE","102","15717"
"062XX N RAVENSWOOD AVE","102","15717"
"034XX W CULLOM AVE","102","15717"
"113XX S MORGAN ST","102","15717"
"058XX W ROSCOE ST","102","15717"
"108XX S PARNELL AVE","102","15717"
"025XX W POTOMAC AVE","102","15717"
"051XX W CONGRESS PKWY","102","15717"
"037XX S EMERALD AVE","102","15717"
"049XX S KEDZIE AV","102","15717"
"029XX N PINE GROVE AVE","102","15717"
"064XX S AUSTIN AVE","102","15717"
"037XX W 66TH PL","102","15717"
"006XX S ST LOUIS AVE","102","15717"
"020XX N WESTERN AV","102","15717"
"052XX S GREENWOOD AVE","102","15717"
"014XX S KILBOURN AVE","102","15717"
"005XX E 37 PL","102","15717"
"025XX E 71ST ST","102","15717"
"084XX S INDIANA AVE","102","15717"
"011XX W CATALPA AVE","102","15717"
"053XX W DEVON AVE","102","15717"
"053XX W BERENICE AVE","102","15717"
"109XX S AVENUE N","102","15717"
"100XX S CRANDON AVE","102","15717"
"007XX W GRACE ST","102","15717"
"090XX S YATES BLVD","102","15717"
"032XX S HAMLIN AVE","102","15717"
"044XX N CHRISTIANA AVE","102","15717"
"036XX W BELLE PLAINE AVE","102","15717"
"035XX W 71ST PL","102","15717"
"028XX W HENDERSON ST","102","15717"
"097XX S INDIANA AVE","102","15717"
"051XX W CARMEN AVE","102","15717"
"019XX N WINCHESTER AVE","102","15717"
"021XX W FLETCHER ST","102","15717"
"030XX W WILSON AVE","101","15819"
"031XX S PRAIRIE AVE","101","15819"
"035XX W 78TH PL","101","15819"
"001XX S AUSTIN BLVD","101","15819"
"015XX N KILPATRICK AVE","101","15819"
"071XX S WESTERN AV","101","15819"
"050XX W NEWPORT AVE","101","15819"
"004XX N LARAMIE AV","101","15819"
"024XX S KARLOV AVE","101","15819"
"020XX S BLUE ISLAND AVE","101","15819"
"080XX S MOZART ST","101","15819"
"011XX W WELLINGTON AVE","101","15819"
"026XX W DIVERSEY AVE","101","15819"
"010XX W WOLFRAM ST","101","15819"
"027XX N MELVINA AVE","101","15819"
"048XX S MICHIGAN AV","101","15819"
"057XX S LAFAYETTE AVE","101","15819"
"096XX S BISHOP ST","101","15819"
"011XX W BRYN MAWR AV","101","15819"
"064XX W GRAND AVE","101","15819"
"026XX W 83RD ST","101","15819"
"028XX W CORTEZ ST","101","15819"
"062XX S HAMLIN AV","101","15819"
"025XX W 38TH ST","101","15819"
"009XX W 86TH PL","101","15819"
"011XX E 79TH ST","101","15819"
"038XX N HAMLIN AVE","101","15819"
"058XX S LOOMIS BLVD","101","15819"
"046XX W OHIO ST","101","15819"
"049XX N MENARD AVE","101","15819"
"004XX W 65TH PL","101","15819"
"020XX N SEMINARY AVE","101","15819"
"114XX S PERRY AVE","101","15819"
"097XX S CHARLES ST","101","15819"
"005XX W 86TH ST","101","15819"
"052XX N LUDLAM AVE","101","15819"
"025XX N CANNON DR","101","15819"
"088XX S BENNETT AVE","101","15819"
"038XX W MARQUETTE RD","101","15819"
"100XX S HOXIE AVE","101","15819"
"0000X E 47TH ST","101","15819"
"033XX N LONG AVE","101","15819"
"045XX W AUGUSTA BLVD","101","15819"
"125XX S MICHIGAN AVE","101","15819"
"011XX N CLEAVER ST","101","15819"
"017XX E 84TH PL","101","15819"
"068XX S TRIPP AVE","101","15819"
"049XX S LAMON AVE","101","15819"
"054XX N ASHLAND AVE","101","15819"
"069XX S EAST END AV","101","15819"
"063XX S CAMPBELL AV","101","15819"
"064XX W 64TH PL","101","15819"
"053XX W DAKIN ST","101","15819"
"043XX N HAMLIN AVE","101","15819"
"088XX S PAXTON AVE","101","15819"
"038XX W ROSCOE ST","101","15819"
"081XX S CHRISTIANA AVE","101","15819"
"0000X N PEORIA ST","101","15819"
"001XX E 116TH ST","101","15819"
"044XX N HERMITAGE AVE","101","15819"
"009XX W NORTH AV","101","15819"
"048XX W BERTEAU AVE","101","15819"
"053XX S HOMAN AVE","101","15819"
"029XX W 55TH ST","101","15819"
"028XX W 85TH PL","101","15819"
"104XX S UNION AVE","101","15819"
"024XX N KILPATRICK AVE","101","15819"
"031XX W MOFFAT ST","101","15819"
"054XX S HOMAN AVE","101","15819"
"017XX W BERTEAU AVE","101","15819"
"044XX N FRANCISCO AVE","101","15819"
"018XX W BIRCHWOOD AVE","101","15819"
"063XX W ADDISON ST","101","15819"
"091XX S OGLESBY AVE","101","15819"
"014XX N MILWAUKEE AV","101","15819"
"024XX N JANSSEN AVE","101","15819"
"003XX W NORMAL PKWY","101","15819"
"031XX S HAMLIN AVE","101","15819"
"018XX W ROOSEVELT RD","101","15819"
"009XX W WILLOW ST","101","15819"
"021XX N CLEVELAND AVE","101","15819"
"033XX W WRIGHTWOOD AVE","101","15819"
"019XX W PERSHING RD","101","15819"
"058XX W WAVELAND AVE","101","15819"
"054XX W WASHINGTON BL","101","15819"
"008XX W WINDSOR AV","101","15819"
"058XX S KILDARE AVE","101","15819"
"058XX N LINCOLN AV","101","15819"
"021XX W WARNER AVE","101","15819"
"008XX E 101ST ST","101","15819"
"026XX W 15TH ST","101","15819"
"035XX W 62ND ST","101","15819"
"047XX S KOLIN AVE","101","15819"
"011XX N FRANCISCO AVE","101","15819"
"034XX N BOSWORTH AVE","101","15819"
"019XX W FARRAGUT AVE","101","15819"
"015XX W 89TH ST","101","15819"
"056XX W WASHINGTON BL","101","15819"
"089XX S JEFFERY BLVD","101","15819"
"028XX N LOWELL AVE","101","15819"
"037XX S PRAIRIE AVE","101","15819"
"003XX W WISCONSIN ST","100","15920"
"054XX W GEORGE ST","100","15920"
"098XX S COMMERCIAL AVE","100","15920"
"013XX W NEWPORT AVE","100","15920"
"005XX E 76TH ST","100","15920"
"014XX N KEDVALE AVE","100","15920"
"038XX W SCHUBERT AVE","100","15920"
"026XX W 42ND ST","100","15920"
"032XX W 28TH ST","100","15920"
"042XX S ELLIS AVE","100","15920"
"060XX W GUNNISON ST","100","15920"
"017XX W AINSLIE ST","100","15920"
"063XX N KENMORE AVE","100","15920"
"023XX S INDIANA AVE","100","15920"
"034XX W 51ST ST","100","15920"
"068XX S KEDVALE AVE","100","15920"
"008XX W KINZIE ST","100","15920"
"016XX W BLACKHAWK ST","100","15920"
"028XX W SHAKESPEARE AVE","100","15920"
"052XX W POLK ST","100","15920"
"020XX W 70 ST","100","15920"
"037XX S ASHLAND AVE","100","15920"
"0000X W 111 ST","100","15920"
"084XX S CREGIER AVE","100","15920"
"006XX W VAN BUREN ST","100","15920"
"006XX N LARAMIE AV","100","15920"
"058XX S TRUMBULL AVE","100","15920"
"015XX W ROSCOE ST","100","15920"
"091XX S UNION AVE","100","15920"
"0000X E 108TH ST","100","15920"
"038XX S VINCENNES AV","100","15920"
"111XX S BELL AVE","100","15920"
"041XX S FRANCISCO AVE","100","15920"
"036XX W AINSLIE ST","100","15920"
"027XX N MAGNOLIA AVE","100","15920"
"091XX S GREEN ST","100","15920"
"106XX S EMERALD AVE","100","15920"
"031XX N FRANCISCO AVE","100","15920"
"019XX W 43RD ST","100","15920"
"054XX S LONG AVE","100","15920"
"063XX S CLAREMONT AV","100","15920"
"050XX W POLK ST","100","15920"
"025XX W AINSLIE ST","100","15920"
"061XX S KEELER AVE","100","15920"
"027XX W NORTH AV","100","15920"
"021XX N HARLEM AVE","100","15920"
"081XX S HOMAN AVE","100","15920"
"056XX S KIMBARK AVE","100","15920"
"034XX N NAGLE AVE","100","15920"
"046XX N KEYSTONE AVE","100","15920"
"055XX W BLOOMINGDALE AVE","100","15920"
"013XX S DAMEN AVE","100","15920"
"038XX N AVONDALE AVE","100","15920"
"015XX S PRAIRIE AVE","100","15920"
"028XX N MENARD AVE","100","15920"
"010XX N SPRINGFIELD AV","100","15920"
"042XX S TALMAN AVE","100","15920"
"036XX W 70TH ST","100","15920"
"007XX E 88TH PL","100","15920"
"051XX S ELLIS AVE","100","15920"
"003XX W 102ND PL","100","15920"
"073XX S BELL AVE","100","15920"
"047XX W DIVISION ST","100","15920"
"012XX W VICTORIA ST","100","15920"
"025XX N LINDEN PL","100","15920"
"017XX W 56TH ST","100","15920"
"046XX S KEATING AVE","100","15920"
"066XX S RHODES AV","100","15920"
"034XX W 38TH ST","100","15920"
"014XX W 68TH ST","100","15920"
"033XX S SHIELDS AVE","100","15920"
"010XX E 101ST ST","100","15920"
"032XX N LINDER AVE","100","15920"
"025XX W 65TH ST","100","15920"
"062XX S VERNON AV","100","15920"
"043XX N WOLCOTT AVE","100","15920"
"034XX S PAULINA ST","100","15920"
"045XX S KARLOV AVE","100","15920"
"040XX N MC VICKER AVE","100","15920"
"035XX W CHICAGO AV","100","15920"
"049XX W FOSTER AVE","100","15920"
"046XX W MONTANA ST","100","15920"
"017XX W HIGHLAND AVE","100","15920"
"079XX S SACRAMENTO AVE","100","15920"
"021XX W POLK ST","100","15920"
"004XX N TRUMBULL AVE","100","15920"
"001XX E 124TH ST","100","15920"
"050XX N MAJOR AVE","100","15920"
"011XX S FRANCISCO AV","100","15920"
"027XX W BERWYN AVE","100","15920"
"050XX W LE MOYNE ST","100","15920"
"055XX S NORMAL BLVD","100","15920"
"027XX N NEWLAND AVE","100","15920"
"020XX W RACE AVE","100","15920"
"048XX W PARKER AVE","100","15920"
"071XX S ADA ST","100","15920"
"023XX N LOWELL AVE","100","15920"
"020XX N WOLCOTT AVE","99","16017"
"003XX W 56TH PL","99","16017"
"005XX W 64TH ST","99","16017"
"020XX S WASHTENAW AVE","99","16017"
"050XX S SPAULDING AVE","99","16017"
"093XX S WABASH AVE","99","16017"
"021XX S KOSTNER AVE","99","16017"
"030XX S CALIFORNIA AVE","99","16017"
"079XX S ALBANY AVE","99","16017"
"017XX W WASHINGTON BLVD","99","16017"
"022XX W WALTON ST","99","16017"
"085XX S DORCHESTER AVE","99","16017"
"019XX N HAMLIN AV","99","16017"
"009XX W 61ST ST","99","16017"
"097XX S TORRENCE AVE","99","16017"
"041XX W EDDY ST","99","16017"
"015XX W 114TH PL","99","16017"
"119XX S UNION AVE","99","16017"
"006XX W 117TH PL","99","16017"
"088XX S RIDGELAND AVE","99","16017"
"033XX E 106TH ST","99","16017"
"029XX W GEORGE ST","99","16017"
"003XX W 35 ST","99","16017"
"051XX S HERMITAGE AV","99","16017"
"016XX W HUBBARD ST","99","16017"
"035XX W 75TH PL","99","16017"
"037XX W 63RD PL","99","16017"
"027XX N MERRIMAC AVE","99","16017"
"029XX N HOYNE AVE","99","16017"
"051XX W WRIGHTWOOD AVE","99","16017"
"022XX W COULTER ST","99","16017"
"025XX N NEVA AVE","99","16017"
"041XX N CENTRAL PARK AVE","99","16017"
"019XX S CLARK ST","99","16017"
"003XX W JACKSON BLVD","99","16017"
"003XX W INSTITUTE PL","99","16017"
"029XX N KILBOURN AVE","99","16017"
"093XX S VERNON AVE","99","16017"
"012XX W 32ND PL","99","16017"
"058XX W ARTHINGTON ST","99","16017"
"004XX E 65TH ST","99","16017"
"025XX W GUNNISON ST","99","16017"
"042XX N SPAULDING AVE","99","16017"
"012XX W WRIGHTWOOD AVE","99","16017"
"028XX W TAYLOR ST","99","16017"
"114XX S EMERALD AVE","99","16017"
"0000X W CTA OHARE PLATFORM ST","99","16017"
"0000X N WESTERN AV","99","16017"
"046XX S ELLIS AV","99","16017"
"080XX S ST LOUIS AVE","99","16017"
"013XX W FARWELL AVE","99","16017"
"061XX S KEATING AVE","99","16017"
