"address","_c1","rank"
"051XX W NORTH AVE","1465","160"
"047XX S UNION AVE","1463","161"
"049XX S ARCHER AVE","1456","162"
"015XX N KINGSBURY ST","1455","163"
"007XX E 111TH ST","1442","164"
"049XX W NORTH AVE","1441","165"
"114XX S HALSTED ST","1438","166"
"011XX N CLARK ST","1437","167"
"009XX N HUDSON AVE","1437","167"
"050XX W MADISON ST","1434","169"
"086XX S COTTAGE GROVE AVE","1434","169"
"076XX S KINGSTON AVE","1428","171"
"050XX W WASHINGTON BLVD","1427","172"
"011XX N LARRABEE ST","1424","173"
"041XX W MADISON ST","1419","174"
"073XX S SOUTH SHORE DR","1418","175"
"063XX S COTTAGE GROVE AVE","1416","176"
"075XX S COLFAX AVE","1415","177"
"044XX W MONROE ST","1415","177"
"111XX S MICHIGAN AVE","1410","179"
"010XX W ADDISON ST","1402","180"
"001XX S STATE ST","1400","181"
"064XX W FULLERTON AVE","1400","181"
"033XX N HALSTED ST","1400","181"
"035XX S FEDERAL ST","1399","184"
"049XX N MILWAUKEE AVE","1396","185"
"039XX W GRENSHAW ST","1392","186"
"081XX S MAY ST","1391","187"
"087XX S STATE ST","1388","188"
"053XX W MADISON ST","1387","189"
"091XX S COMMERCIAL AVE","1384","190"
"002XX W GARFIELD BLVD","1384","190"
"007XX E 61ST ST","1383","192"
"012XX N MILWAUKEE AVE","1383","192"
"070XX S PULASKI RD","1380","194"
"056XX S ROCKWELL ST","1375","195"
"039XX W 79TH ST","1371","196"
"015XX W 13TH ST","1367","197"
"001XX N LOTUS AVE","1367","197"
"052XX N SHERIDAN RD","1363","199"
"028XX W WILCOX ST","1362","200"
"047XX S COTTAGE GROVE AVE","1359","201"
"082XX S ELLIS AVE","1354","202"
"055XX W CONGRESS PKWY","1354","202"
"034XX N HALSTED ST","1351","204"
"048XX W MONROE ST","1349","205"
"067XX S JEFFERY BLVD","1346","206"
"023XX S CHRISTIANA AVE","1342","207"
"027XX W OGDEN AVE","1340","208"
"045XX N BROADWAY","1334","209"
"001XX W DIVISION ST","1334","209"
"065XX S WOOD ST","1333","211"
"043XX N SHERIDAN RD","1330","212"
"049XX S STATE ST","1328","213"
"012XX N LARRABEE ST","1327","214"
"038XX W MADISON ST","1326","215"
"018XX S KARLOV AVE","1326","215"
"010XX W NORTH AVE","1324","217"
"0000X E LAKE ST","1322","218"
"050XX S KEDZIE AVE","1322","218"
"036XX N MILWAUKEE AVE","1322","218"
"044XX N BROADWAY","1318","221"
"054XX W MADISON ST","1315","222"
"006XX S STATE ST","1313","223"
"049XX W MADISON ST","1313","223"
"063XX S HALSTED ST","1308","225"
"068XX S PERRY AVE","1308","225"
"030XX N MOBILE AVE","1306","227"
"001XX N MICHIGAN AVE","1304","228"
"071XX S HALSTED ST","1302","229"
"070XX S ASHLAND AVE","1301","230"
"003XX E 47TH ST","1299","231"
"004XX N STATE ST","1298","232"
"005XX W ROOSEVELT RD","1296","233"
"022XX N LINCOLN AVE","1295","234"
"017XX W PRYOR AVE","1294","235"
"043XX W VAN BUREN ST","1293","236"
"001XX S MICHIGAN AVE","1291","237"
"009XX W WEED ST","1287","238"
"007XX N PULASKI RD","1287","238"
"036XX N HALSTED ST","1287","238"
"069XX S ASHLAND AVE","1286","241"
"028XX N CLARK ST","1284","242"
"010XX W LAWRENCE AVE","1282","243"
"076XX S CICERO AV","1279","244"
"062XX S MICHIGAN AVE","1278","245"
"010XX N LARRABEE ST","1274","246"
"054XX W WASHINGTON BLVD","1274","246"
"070XX N CLARK ST","1266","248"
"036XX W LAKE ST","1262","249"
"062XX S CALUMET AVE","1256","250"
"080XX S COTTAGE GROVE AVE","1251","251"
"007XX N CENTRAL AVE","1245","252"
"033XX W MADISON ST","1244","253"
"019XX W WASHINGTON BLVD","1243","254"
"037XX W ROOSEVELT RD","1240","255"
"078XX S ESSEX AVE","1235","256"
"016XX S HOMAN AVE","1232","257"
"088XX S BURLEY AVE","1228","258"
"011XX S HAMILTON AVE","1227","259"
"050XX N WINTHROP AVE","1227","259"
"029XX S FEDERAL ST","1226","261"
"002XX E HURON ST","1226","261"
"003XX W CHICAGO AVE","1222","263"
"024XX W 63RD ST","1220","264"
"076XX S COLES AVE","1218","265"
"047XX W NORTH AVE","1215","266"
"039XX W VAN BUREN ST","1215","266"
"048XX W ADAMS ST","1212","268"
"043XX W WRIGHTWOOD AVE","1211","269"
"013XX W 76TH ST","1210","270"
"072XX S SOUTH SHORE DR","1210","270"
"033XX W MAYPOLE AVE","1210","270"
"003XX N PINE AVE","1208","273"
"047XX N SHERIDAN RD","1206","274"
"046XX W IRVING PARK RD","1204","275"
"079XX S MARYLAND AVE","1203","276"
"001XX N CENTRAL AVE","1202","277"
"025XX W CERMAK RD","1199","278"
"071XX S ASHLAND AVE","1198","279"
"054XX W CHICAGO AVE","1197","280"
"003XX N DEARBORN ST","1196","281"
"003XX N MICHIGAN AVE","1195","282"
"081XX S DREXEL AVE","1193","283"
"046XX S DREXEL BLVD","1192","284"
"077XX S KINGSTON AVE","1190","285"
"026XX E 79TH ST","1190","285"
"052XX W FERDINAND ST","1187","287"
"011XX N STATE ST","1186","288"
"015XX W HASTINGS ST","1185","289"
"009XX E 104TH ST","1184","290"
"045XX S DAMEN AVE","1183","291"
"065XX S LOWE AVE","1182","292"
"004XX W CHICAGO AVE","1181","293"
"048XX N SHERIDAN RD","1180","294"
"077XX S INGLESIDE AVE","1180","294"
"040XX W JACKSON BLVD","1179","296"
"020XX W CHICAGO AVE","1179","296"
"044XX S DREXEL BLVD","1178","298"
"046XX W DIVERSEY AVE","1175","299"
"036XX S RHODES AVE","1174","300"
"035XX E 114TH ST","1161","301"
"051XX S DR MARTIN LUTHER KING JR DR","1159","302"
"003XX W OAK ST","1157","303"
"005XX E 51ST ST","1154","304"
"066XX S WESTERN AVE","1152","305"
"041XX S CALIFORNIA AVE","1152","305"
"036XX W DOUGLAS BLVD","1151","307"
"053XX W CHICAGO AVE","1148","308"
"110XX S MICHIGAN AVE","1148","308"
"010XX W BELMONT AVE","1147","310"
"103XX S MICHIGAN AVE","1146","311"
"001XX N LA SALLE ST","1145","312"
"034XX W ROOSEVELT RD","1144","313"
"002XX W 63RD ST","1144","313"
"040XX W MONROE ST","1143","315"
"044XX N SHERIDAN RD","1142","316"
"050XX S BLACKSTONE AVE","1142","316"
"071XX S WESTERN AVE","1142","316"
"054XX S HALSTED ST","1142","316"
"048XX W MADISON ST","1140","320"
"026XX W MADISON ST","1136","321"
"048XX N BROADWAY","1135","322"
"056XX W WASHINGTON BLVD","1135","322"
"011XX N LAWNDALE AVE","1135","322"
"006XX N LA SALLE DR","1131","325"
"076XX N SHERIDAN RD","1129","326"
"075XX S KINGSTON AVE","1128","327"
"001XX W CERMAK RD","1128","327"
