"unsafearea.address","unsafearea.total_crimes","unsafearea.rank","crime.latitude","crime.longitude"
"023XX W 23RD ST","154","11164","41.850234223","-87.68415324"
"120XX S PERRY AVE","450","2637","41.675745187","-87.624996177"
"008XX N ST LOUIS AVE","431","2850","41.896441593","-87.713907172"
"037XX W CHICAGO AVE","1809","91","41.895420644","-87.720539406"
"038XX W ADAMS ST","564","1623","41.878030398","-87.721575832"
"0000X W MADISON ST","489","2233","41.882014826","-87.628205173"
"024XX E 77TH ST","338","4311","41.75536643","-87.565654201"
"022XX S CALIFORNIA AVE","452","2611","41.850744647","-87.695416246"
"075XX S UNION AVE","701","1055","41.757243904","-87.641770033"
"026XX E 83RD ST","415","3080","41.744546219","-87.559601358"
"010XX N CLARK ST","644","1237","41.901073698","-87.63136393"
"003XX W 64TH ST","656","1188","41.778099133","-87.633828531"
"022XX W CHICAGO AVE","285","5552","41.895815719","-87.682611972"
"029XX N HAMLIN AVE","219","7730","41.934688259","-87.722159302"
"049XX W ADAMS ST","914","572","41.878561173","-87.748123058"
"045XX S WOODLAWN AVE","238","6981","41.81255052","-87.596892617"
"004XX W DIVERSEY PKWY","489","2233","",""
"058XX S MARSHFIELD AVE","71","19682","41.788362782","-87.665651548"
"004XX E 103RD ST","395","3348","41.707322531","-87.613245456"
"049XX S DAMEN AVE","241","6877","41.803914023","-87.6745751"
"102XX S VAN VLISSINGEN RD","82","18150","41.70918999","-87.568840721"
"080XX S HALSTED ST","590","1484","41.74808565","-87.643968122"
"057XX S WABASH AVE","588","1493","41.790420977","-87.623980798"
"021XX W 50TH ST","165","10421","41.803022253","-87.677954838"
"016XX N WASHTENAW AVE","236","7052","41.910698885","-87.694551457"
"100XX S LAFAYETTE AVE","190","9026","41.711747024","-87.624828137"
"062XX S WOOD ST","421","2992","41.780693231","-87.669093216"
"063XX S ARTESIAN AVE","892","603","41.778656405","-87.684846319"
"012XX N OAKLEY BLVD","53","22771","41.903738601","-87.684599678"
"031XX W WALNUT ST","518","2004","41.885413657","-87.705031022"
"066XX W 63RD ST","114","14463","41.777575376","-87.78787491"
"039XX S CALIFORNIA AVE","299","5186","41.821640022","-87.694622927"
"036XX N HALSTED ST","1287","238","41.948279589","-87.649516667"
"054XX W CONGRESS PKWY","361","3893","41.873875759","-87.760447774"
"056XX S HALSTED ST","291","5396","",""
"039XX N SHERIDAN RD","764","847","41.953885576","-87.65453007"
"045XX S HERMITAGE AVE","462","2516","41.811325368","-87.668692471"
"103XX S PEORIA ST","208","8187","41.706440114","-87.645251832"
"0000X E MONROE ST","1506","148","41.880775433","-87.627029031"
"097XX S WALLACE ST","147","11646","41.716977251","-87.638235094"
"071XX S HALSTED ST","1302","229","41.764449736","-87.64439412"
"001XX S CENTRAL PARK BLVD","114","14463","41.879086409","-87.715837383"
"001XX N LAPORTE AVE","1060","390","41.883436982","-87.749059068"
"035XX W BERTEAU AVE","60","21475","41.957452114","-87.71611086"
"022XX N CLARK ST","427","2918","41.922420841","-87.638548833"
"018XX S MILLARD AVE","286","5531","41.856092287","-87.716344941"
"030XX W ROOSEVELT RD","530","1893","41.866438916","-87.70234588"
"025XX W 50TH ST","127","13301","41.802931007","-87.687036948"
"047XX S LECLAIRE AVE","72","19537","41.806939504","-87.750473569"
"040XX W DICKENS AVE","123","13655","41.918986079","-87.727390746"
"080XX S SPAULDING AVE","103","15606","41.74725702","-87.704763883"
"053XX S ABERDEEN ST","323","4603","41.79692471","-87.652517966"
"0000X W ILLINOIS ST","625","1314","41.890824651","-87.630128275"
"001XX N STATE ST","9528","2","41.885347387","-87.627929824"
"0000X W ILLINOIS ST","625","1314","41.890824651","-87.630128275"
"050XX W CHICAGO AVE","840","684","41.894961752","-87.751010889"
"035XX W GRENSHAW ST","537","1838","41.867264692","-87.713895199"
"017XX N CLARK ST","464","2484","41.914055338","-87.633396724"
"064XX N MAPLEWOOD AVE","216","7852","41.998176088","-87.693559621"
"072XX S OAKLEY AVE","212","8011","41.762435679","-87.680629549"
"010XX N RUSH ST","1120","337","41.900993132","-87.627621735"
"008XX N CENTRAL PARK AVE","481","2307","41.89608419","-87.716334812"
"0000X E 102ND PL","523","1958","41.70809791","-87.621854148"
"005XX W ROOSEVELT RD","1296","233","41.867251542","-87.639594427"
"020XX W 21ST ST","254","6441","41.853996428","-87.676880448"
"022XX W 21ST ST","383","3521","41.853906334","-87.681781611"
"0000X W 112TH ST","370","3730","41.690757992","-87.624315259"
"059XX S KILDARE AVE","120","13912","",""
"042XX W DICKENS AVE","82","18150","41.918922509","-87.73200262"
"117XX S WALLACE ST","297","5236","41.68108608","-87.637190135"
"033XX S ARCHER AVE","157","10943","41.833170591","-87.673115656"
"005XX S STATE ST","1067","374","41.875367424","-87.627620993"
"083XX S BURLEY AVE","360","3914","41.743816176","-87.545458584"
"040XX S ROCKWELL ST","219","7730","41.820586014","-87.689669664"
"057XX S MARSHFIELD AVE","425","2944","41.789619867","-87.665686173"
"043XX S BERKELEY AVE","244","6773","41.81590861","-87.600614272"
"056XX S KEDZIE AVE","202","8439","41.791243922","-87.703490919"
"029XX N AVONDALE AVE","23","31834","",""
"104XX S WALLACE ST","220","7688","41.704370559","-87.637902149"
"055XX W HOMER ST","108","15099","41.915055232","-87.76417995"
"060XX S PEORIA ST","307","4992","41.783883131","-87.647321058"
"056XX N MOODY AVE","46","24229","41.983691101","-87.781654021"
"014XX W 63RD ST","526","1934","41.779520772","-87.660962362"
"039XX W FULLERTON AVE","789","791","41.924491602","-87.725945966"
"0000X W 69TH ST","1601","123","41.769185486","-87.625732415"
"046XX W NORTH AVE","2622","26","41.909664252","-87.742728815"
"059XX W WRIGHTWOOD AVE","71","19682","41.927495647","-87.774965213"
"067XX S BISHOP ST","334","4411","41.771454493","-87.660357419"
"128XX S LOWE AVE","160","10754","41.661113422","-87.637752956"
"018XX S MICHIGAN AVE","399","3297","41.85744665","-87.623923346"
"038XX N CLARK ST","290","5425","41.951522002","-87.659984876"
"005XX N TRUMBULL AVE","301","5130","41.890964831","-87.712520383"
"021XX N WESTERN AVE","334","4411","",""
"033XX W 63RD PL","160","10754","41.777991517","-87.706461962"
"076XX S WINCHESTER AVE","131","12927","41.754773903","-87.672046934"
"014XX W WEBSTER AVE","920","565","41.921606937","-87.665565006"
"0000X E WASHINGTON ST","1084","366","41.883222953","-87.625635993"
"004XX W 115TH ST","420","3005","41.685184204","-87.63416226"
"121XX S MICHIGAN AVE","293","5334","41.674116785","-87.620394665"
"065XX S WOLCOTT AVE","411","3125","41.774764989","-87.671372364"
"0000X E GARFIELD BLVD","997","462","41.794672085","-87.623570871"
"012XX N LARAMIE AVE","278","5757","41.902474874","-87.755780468"
"053XX W FULLERTON AVE","327","4528","41.924053337","-87.760271035"
"052XX W FULLERTON AVE","396","3334","41.924102822","-87.756452662"
"031XX S ASHLAND AVE","1838","89","41.836385231","-87.66571041"
"014XX S MICHIGAN AVE","469","2429","41.863457443","-87.624066159"
"109XX S PERRY AVE","88","17380","41.695971873","-87.625594478"
"012XX W 119TH ST","146","11731","41.677661758","-87.652872258"
"052XX W MADISON ST","1954","71","41.880362084","-87.755847438"
"046XX S HALSTED ST","1033","416","41.809860998","-87.645565723"
"013XX W 35TH ST","50","23394","41.830595601","-87.657863321"
"020XX W BIRCHWOOD AVE","503","2114","",""
"008XX W 98TH PL","9","41657","41.715103783","-87.643394021"
"048XX S TRIPP AVE","110","14877","41.805248401","-87.729630013"
"079XX S RIDGELAND AVE","464","2484","41.75108144","-87.581668774"
"002XX E 75TH ST","164","10486","41.758329048","-87.619522001"
"053XX S DREXEL AVE","246","6705","41.79839359","-87.603898124"
"0000X N LAMON AVE","419","3021","41.881185539","-87.747753929"
"077XX S HOYNE AVE","151","11380","41.753293471","-87.675653686"
"082XX S GREEN ST","365","3820","41.744368256","-87.645074213"
"005XX E 79TH ST","592","1474","41.751164599","-87.612198632"
"020XX W FARGO AVE","269","5988","42.016479095","-87.682207621"
"001XX N STATE ST","9528","2","41.883500187","-87.627876698"
"006XX S CICERO AVE","537","1838","41.872817885","-87.74498476"
"057XX S WENTWORTH AVE","201","8481","41.789403671","-87.630365095"
"064XX N RIDGE BLVD","420","3005","41.998568957","-87.677111021"
"067XX S MAY ST","475","2373","41.771430805","-87.653073555"
"017XX N LAWNDALE AVE","155","11079","",""
"046XX W IRVING PARK RD","1204","275","41.95347181","-87.743552438"
"024XX N CENTRAL AVE","390","3426","41.924435828","-87.766007399"
"035XX W 18TH ST","52","22977","41.857163878","-87.713533834"
"077XX S HERMITAGE AVE","210","8111","41.753436622","-87.667157076"
"014XX W ROSCOE ST","120","13912","41.943390733","-87.665595047"
"007XX N CENTRAL AVE","1245","252","41.893408918","-87.765338129"
