"unsafearea.address","unsafearea.total_crimes","unsafearea.rank","crime.latitude","crime.longitude"
"0000X E 8th St","2","51750","41.871811902","-87.627340674"
"027XX N HOYNE AVE","868","634","41.931213989","-87.678827189"
"078XX S DR MARTIN LUTHER KING JR DR","372","3695","",""
"017XX W 85TH ST","141","12088","41.739391417","-87.666239679"
"036XX W 54TH ST","68","20151","41.795170922","-87.715095964"
"060XX S WASHTENAW AVE","358","3956","41.784130671","-87.691090396"
"036XX W 107TH PL","5","46507","41.697242838","-87.712537855"
"031XX W BELMONT AVE","119","14022","41.93935097","-87.705428046"
"005XX W FULLERTON PKWY","187","9163","41.925543757","-87.643097293"
"104XX S COTTAGE GROVE AVE","118","14104","41.704282341","-87.607222327"
"009XX E HYDE PARK BLVD","163","10548","41.802296431","-87.603109329"
"032XX N KENNETH AVE","135","12593","41.939531427","-87.738281596"
"075XX S PEORIA ST","472","2406","41.757237422","-87.646637323"
"0000X W 111TH ST","882","614","41.692569761","-87.624397882"
"013XX W 72ND PL","245","6738","41.762270889","-87.657817993"
"077XX S KINGSTON AVE","1190","285","41.754786521","-87.562655871"
"055XX W HARRISON ST","201","8481","41.872850011","-87.762773766"
"036XX W OGDEN AVE","271","5938","41.854206133","-87.715676664"
"019XX W GARFIELD BLVD","728","946","41.793557173","-87.673632358"
"053XX S DR MARTIN LUTHER KING JR DR","548","1757","41.797490407","-87.616051012"
"026XX W DIVISION ST","758","863","41.902958085","-87.693195993"
"034XX W 76TH ST","37","26565","41.755448003","-87.709151576"
"055XX W BARRY AVE","87","17506","41.936773203","-87.764762383"
"057XX S CARPENTER ST","316","4777","41.78960286","-87.65111401"
"002XX N LECLAIRE AVE","376","3625","",""
"016XX S SPRINGFIELD AVE","316","4777","41.858328523","-87.722442751"
"017XX W 76TH ST","123","13655","41.755779843","-87.666612415"
"006XX N ST LOUIS AVE","749","882","41.892802107","-87.713791753"
"005XX N AVERS AVE","459","2546","41.890451843","-87.722276336"
"003XX S DAMEN AVE","191","8978","41.877161446","-87.676536946"
"003XX S KILBOURN AVE","500","2129","41.875733447","-87.73775753"
"002XX S MICHIGAN AVE","833","696","41.879235852","-87.624347038"
"014XX W 69TH ST","437","2786","41.768614608","-87.659499996"
"032XX W DEVON AVE","58","21823","41.997383899","-87.709677147"
"009XX N RIDGEWAY AVE","483","2286","41.898096474","-87.720062031"
"0000X E ROOSEVELT RD","1706","104","41.867430279","-87.626155308"
"001XX S HOMAN AVE","265","6092","41.879158814","-87.710949201"
"081XX W HIGGINS RD","193","8881","41.985421498","-87.829756604"
"077XX S DAMEN AVE","247","6669","41.752881531","-87.673209785"
"001XX E BALBO DR","34","27438","41.873167767","-87.623811946"
"0000X E 68TH ST","238","6981","41.771020794","-87.622519283"
"009XX E 61ST ST","213","7972","41.784102477","-87.60191517"
"027XX W 63RD ST","450","2637","41.7791416","-87.691591137"
"057XX S CICERO AVE","3017","16","41.788492935","-87.7414552"
"016XX S KARLOV AVE","403","3227","41.858091203","-87.727374941"
"030XX W 26TH ST","359","3940","41.844580682","-87.701808336"
"050XX S KEELER AVE","105","15407","41.801978507","-87.728311019"
"047XX S FORRESTVILLE AVE","346","4161","41.808951235","-87.612658638"
"072XX S MORGAN ST","511","2058","41.762818188","-87.649205908"
"004XX S PULASKI RD","1003","457","41.874974798","-87.725475051"
"034XX N DAMEN AVE","91","17022","41.944417226","-87.678486323"
"028XX W FULLERTON AVE","274","5855","41.924793091","-87.69897848"
"075XX S STONY ISLAND AVE","2611","27","41.757614433","-87.586115266"
"013XX N MAPLEWOOD AVE","259","6279","41.905263458","-87.69077782"
"070XX N CLARK ST","1266","248","42.009676751","-87.674119469"
"076XX S COLES AVE","1218","265","41.757840818","-87.556527929"
"010XX N HARDING AVE","805","749","41.899900967","-87.724992604"
"003XX N HALSTED ST","449","2643","41.88705768","-87.647514742"
"037XX W SUNNYSIDE AVE","151","11380","41.962843817","-87.721625565"
"0000X E OHIO ST","1125","332","41.8924816","-87.627351831"
"062XX W FULLERTON AVE","179","9580","41.923727646","-87.782314195"
"069XX S ASHLAND AVE","1286","241","41.767726292","-87.663867778"
"095XX S PERRY AVE","288","5485","41.720734992","-87.626216592"
"001XX N PINE AVE","1492","151","",""
"051XX S WENTWORTH AVE","857","651","41.80171934","-87.630703621"
"077XX W RASCHER AVE","20","33429","41.97873838","-87.820239721"
"063XX S ELIZABETH ST","408","3169","41.778768071","-87.655694415"
"022XX N CLYBOURN AVE","520","1987","41.923141058","-87.666526442"
"077XX S HOMAN AVE","160","10754","41.752773552","-87.707363398"
"028XX W SUMMERDALE AVE","61","21288","41.978554116","-87.69981699"
"0000X W 79TH ST","2222","49","41.750940757","-87.625185222"
"039XX W VAN BUREN ST","1215","266","41.875291694","-87.723650826"
"113XX S MICHIGAN AVE","781","816","41.687811905","-87.620979368"
"008XX N CHRISTIANA AVE","166","10359","",""
"051XX W BLOOMINGDALE AVE","219","7730","41.913179858","-87.754089457"
"002XX S CICERO AVE","614","1362","41.87736877","-87.745163337"
"023XX E 83RD ST","141","12088","41.744434016","-87.568254211"
"045XX S ROCKWELL ST","271","5938","41.811522988","-87.689415598"
